parking_lot_number,Timestamp,Occupancy,VehicleType_weighted,traffic_condition_weighted,QueueLength,IsSpecialDay,Capacity,Latitude,Longitude
9,2016-10-04 08:59:00,323,1.0,0,2,0,2803,26.14754061,91.72797041
4,2016-10-04 08:59:00,958,1.0,0,2,0,1920,26.15050395,91.73353109
11,2016-10-04 08:59:00,2007,1.0,0,2,0,3883,26.14749943,91.72800489
6,2016-10-04 08:59:00,415,0.7,0,3,0,690,26.13795775,91.74099445
3,2016-10-04 08:59:00,278,1.0,0,2,0,485,26.14004753,91.73097233
5,2016-10-04 08:59:00,269,1.5,0,2,0,470,26.14901995,91.7395035
2,2016-10-04 08:59:00,346,1.5,0,2,0,687,20.0000347,78.00000286
0,2016-10-04 08:59:00,80,1.0,0,2,0,577,26.14453614,91.73617216
13,2016-10-04 08:59:00,792,1.0,0,3,0,3103,26.14749998,91.72797778
1,2016-10-04 08:59:00,441,1.0,0,2,0,1200,26.14001386,91.73099967
12,2016-10-04 08:59:00,848,0.7,0,2,0,2937,26.14749053,91.72799688
8,2016-10-04 08:59:00,864,1.0,0,2,0,2009,26.14747299,91.72804914
5,2016-10-04 09:32:00,351,0.5,0,3,0,470,26.14901995,91.7395035
10,2016-10-04 09:32:00,204,0.5,0,2,0,387,26.14449459,91.73620513
12,2016-10-04 09:32:00,1036,1.0,0,3,0,2937,26.14749053,91.72799688
7,2016-10-04 09:32:00,590,0.5,0,3,0,1322,26.14754886,91.72799519
6,2016-10-04 09:32:00,530,1.0,0,2,0,690,26.13795775,91.74099445
13,2016-10-04 09:32:00,932,1.0,0,3,0,3103,26.14749998,91.72797778
9,2016-10-04 09:32:00,420,0.7,0,2,0,2803,26.14754061,91.72797041
8,2016-10-04 09:32:00,1004,1.0,0,3,0,2009,26.14747299,91.72804914
0,2016-10-04 09:32:00,107,1.0,0,2,0,577,26.14453614,91.73617216
4,2016-10-04 09:32:00,1121,0.5,0,3,0,1920,26.15050395,91.73353109
11,2016-10-04 09:32:00,2502,0.7,0,3,0,3883,26.14749943,91.72800489
2,2016-10-04 09:32:00,414,1.5,0,2,0,687,20.0000347,78.00000286
1,2016-10-04 09:32:00,552,0.7,0,2,0,1200,26.14001386,91.73099967
3,2016-10-04 09:32:00,302,1.5,0,3,0,485,26.14004753,91.73097233
1,2016-10-04 09:59:00,638,1.0,0,2,0,1200,26.14001386,91.73099967
4,2016-10-04 09:59:00,1254,1.5,0,3,0,1920,26.15050395,91.73353109
7,2016-10-04 09:59:00,657,1.5,0,3,0,1322,26.14754886,91.72799519
5,2016-10-04 09:59:00,397,0.7,0,2,0,470,26.14901995,91.7395035
13,2016-10-04 09:59:00,1052,0.5,0,3,0,3103,26.14749998,91.72797778
9,2016-10-04 09:59:00,476,1.0,0,3,0,2803,26.14754061,91.72797041
10,2016-10-04 09:59:00,236,1.0,0,2,0,387,26.14449459,91.73620513
8,2016-10-04 09:59:00,1142,1.0,0,3,0,2009,26.14747299,91.72804914
12,2016-10-04 09:59:00,1163,1.0,0,3,0,2937,26.14749053,91.72799688
6,2016-10-04 09:59:00,600,1.0,0,2,0,690,26.13795775,91.74099445
3,2016-10-04 09:59:00,327,1.0,1,3,0,485,26.14004753,91.73097233
0,2016-10-04 09:59:00,150,0.7,0,2,0,577,26.14453614,91.73617216
11,2016-10-04 09:59:00,2802,1.5,0,3,0,3883,26.14749943,91.72800489
2,2016-10-04 09:59:00,485,1.0,0,3,0,687,20.0000347,78.00000286
7,2016-10-04 10:26:00,715,1.0,0,3,0,1322,26.14754886,91.72799519
5,2016-10-04 10:26:00,430,1.0,0,3,0,470,26.14901995,91.7395035
13,2016-10-04 10:26:00,1142,1.0,0,4,0,3103,26.14749998,91.72797778
6,2016-10-04 10:26:00,642,1.0,0,4,0,690,26.13795775,91.74099445
0,2016-10-04 10:26:00,177,1.0,0,3,0,577,26.14453614,91.73617216
8,2016-10-04 10:26:00,1245,1.5,0,4,0,2009,26.14747299,91.72804914
9,2016-10-04 10:26:00,525,0.5,0,4,0,2803,26.14754061,91.72797041
1,2016-10-04 10:26:00,686,1.0,1,4,0,1200,26.14001386,91.73099967
12,2016-10-04 10:26:00,1257,1.0,0,3,0,2937,26.14749053,91.72799688
11,2016-10-04 10:26:00,3035,1.0,0,5,0,3883,26.14749943,91.72800489
4,2016-10-04 10:26:00,1324,1.0,0,4,0,1920,26.15050395,91.73353109
2,2016-10-04 10:26:00,530,1.0,1,5,0,687,20.0000347,78.00000286
3,2016-10-04 10:26:00,351,1.0,0,3,0,485,26.14004753,91.73097233
10,2016-10-04 10:26:00,264,1.0,0,3,0,387,26.14449459,91.73620513
4,2016-10-04 10:59:00,1387,1.0,1,5,0,1920,26.15050395,91.73353109
1,2016-10-04 10:59:00,729,1.0,1,4,0,1200,26.14001386,91.73099967
12,2016-10-04 10:59:00,1354,0.7,2,7,0,2937,26.14749053,91.72799688
13,2016-10-04 10:59:00,1210,1.0,1,5,0,3103,26.14749998,91.72797778
11,2016-10-04 10:59:00,3169,1.0,1,6,0,3883,26.14749943,91.72800489
2,2016-10-04 10:59:00,573,1.0,1,4,0,687,20.0000347,78.00000286
6,2016-10-04 10:59:00,675,0.7,1,4,0,690,26.13795775,91.74099445
3,2016-10-04 10:59:00,371,1.0,2,6,0,485,26.14004753,91.73097233
7,2016-10-04 10:59:00,791,1.0,1,4,0,1322,26.14754886,91.72799519
0,2016-10-04 10:59:00,219,1.5,2,6,0,577,26.14453614,91.73617216
10,2016-10-04 10:59:00,308,1.0,1,4,0,387,26.14449459,91.73620513
9,2016-10-04 10:59:00,574,1.5,1,4,0,2803,26.14754061,91.72797041
5,2016-10-04 10:59:00,458,0.5,2,6,0,470,26.14901995,91.7395035
8,2016-10-04 10:59:00,1364,0.7,1,5,0,2009,26.14747299,91.72804914
4,2016-10-04 11:25:00,1428,1.5,1,6,0,1920,26.15050395,91.73353109
1,2016-10-04 11:25:00,765,1.0,1,5,0,1200,26.14001386,91.73099967
0,2016-10-04 11:25:00,247,1.0,1,5,0,577,26.14453614,91.73617216
7,2016-10-04 11:25:00,820,1.5,1,5,0,1322,26.14754886,91.72799519
12,2016-10-04 11:25:00,1369,0.7,1,6,0,2937,26.14749053,91.72799688
8,2016-10-04 11:25:00,1424,0.7,1,6,0,2009,26.14747299,91.72804914
5,2016-10-04 11:25:00,464,1.0,1,5,0,470,26.14901995,91.7395035
13,2016-10-04 11:25:00,1241,1.5,2,9,0,3103,26.14749998,91.72797778
11,2016-10-04 11:25:00,3221,1.5,1,7,0,3883,26.14749943,91.72800489
2,2016-10-04 11:25:00,604,0.7,1,5,0,687,20.0000347,78.00000286
9,2016-10-04 11:25:00,588,1.5,1,5,0,2803,26.14754061,91.72797041
10,2016-10-04 11:25:00,324,0.7,1,5,0,387,26.14449459,91.73620513
3,2016-10-04 11:25:00,373,1.5,2,7,0,485,26.14004753,91.73097233
6,2016-10-04 11:25:00,672,1.0,1,6,0,690,26.13795775,91.74099445
13,2016-10-04 11:59:00,1288,0.7,1,6,0,3103,26.14749998,91.72797778
11,2016-10-04 11:59:00,3248,0.7,1,7,0,3883,26.14749943,91.72800489
0,2016-10-04 11:59:00,259,0.5,1,5,0,577,26.14453614,91.73617216
12,2016-10-04 11:59:00,1390,1.0,1,6,0,2937,26.14749053,91.72799688
9,2016-10-04 11:59:00,605,1.0,1,5,0,2803,26.14754061,91.72797041
10,2016-10-04 11:59:00,332,1.0,1,5,0,387,26.14449459,91.73620513
8,2016-10-04 11:59:00,1470,0.7,1,6,0,2009,26.14747299,91.72804914
7,2016-10-04 11:59:00,836,1.0,2,8,0,1322,26.14754886,91.72799519
6,2016-10-04 11:59:00,677,1.0,2,7,0,690,26.13795775,91.74099445
4,2016-10-04 11:59:00,1447,1.0,1,6,0,1920,26.15050395,91.73353109
3,2016-10-04 11:59:00,381,1.0,2,7,0,485,26.14004753,91.73097233
1,2016-10-04 11:59:00,771,1.0,1,6,0,1200,26.14001386,91.73099967
2,2016-10-04 11:59:00,634,0.7,1,5,0,687,20.0000347,78.00000286
5,2016-10-04 11:59:00,460,0.7,1,5,0,470,26.14901995,91.7395035
4,2016-10-04 12:29:00,1460,0.5,2,10,0,1920,26.15050395,91.73353109
11,2016-10-04 12:29:00,3251,1.0,2,11,0,3883,26.14749943,91.72800489
0,2016-10-04 12:29:00,266,0.7,2,8,0,577,26.14453614,91.73617216
12,2016-10-04 12:29:00,1397,1.0,2,10,0,2937,26.14749053,91.72799688
1,2016-10-04 12:29:00,779,0.5,2,9,0,1200,26.14001386,91.73099967
8,2016-10-04 12:29:00,1484,1.0,2,10,0,2009,26.14747299,91.72804914
5,2016-10-04 12:29:00,464,1.0,2,8,0,470,26.14901995,91.7395035
9,2016-10-04 12:29:00,604,1.0,2,9,0,2803,26.14754061,91.72797041
6,2016-10-04 12:29:00,683,1.0,2,9,0,690,26.13795775,91.74099445
10,2016-10-04 12:29:00,334,1.0,2,8,0,387,26.14449459,91.73620513
2,2016-10-04 12:29:00,648,0.7,2,9,0,687,20.0000347,78.00000286
13,2016-10-04 12:29:00,1297,1.5,2,10,0,3103,26.14749998,91.72797778
7,2016-10-04 12:29:00,836,1.0,2,9,0,1322,26.14754886,91.72799519
3,2016-10-04 12:29:00,379,1.0,1,6,0,485,26.14004753,91.73097233
3,2016-10-04 12:56:00,374,0.7,2,8,0,485,26.14004753,91.73097233
4,2016-10-04 13:02:00,1448,1.0,2,9,0,1920,26.15050395,91.73353109
7,2016-10-04 13:02:00,810,1.0,2,8,0,1322,26.14754886,91.72799519
11,2016-10-04 13:02:00,3232,1.0,2,10,0,3883,26.14749943,91.72800489
0,2016-10-04 13:02:00,269,1.0,2,7,0,577,26.14453614,91.73617216
13,2016-10-04 13:02:00,1288,0.7,2,9,0,3103,26.14749998,91.72797778
6,2016-10-04 13:02:00,660,0.7,2,8,0,690,26.13795775,91.74099445
10,2016-10-04 13:02:00,333,1.0,2,7,0,387,26.14449459,91.73620513
8,2016-10-04 13:02:00,1461,0.7,2,8,0,2009,26.14747299,91.72804914
5,2016-10-04 13:02:00,458,1.0,2,8,0,470,26.14901995,91.7395035
2,2016-10-04 13:02:00,651,1.5,1,6,0,687,20.0000347,78.00000286
12,2016-10-04 13:02:00,1367,1.0,2,9,0,2937,26.14749053,91.72799688
1,2016-10-04 13:02:00,773,1.5,2,7,0,1200,26.14001386,91.73099967
9,2016-10-04 13:02:00,596,1.0,2,8,0,2803,26.14754061,91.72797041
2,2016-10-04 13:29:00,648,1.0,2,8,0,687,20.0000347,78.00000286
3,2016-10-04 13:29:00,375,0.7,2,7,0,485,26.14004753,91.73097233
0,2016-10-04 13:29:00,263,1.0,2,7,0,577,26.14453614,91.73617216
1,2016-10-04 13:29:00,758,1.0,1,6,0,1200,26.14001386,91.73099967
9,2016-10-04 13:29:00,581,1.0,2,7,0,2803,26.14754061,91.72797041
10,2016-10-04 13:29:00,331,1.0,2,7,0,387,26.14449459,91.73620513
4,2016-10-04 13:29:00,1432,0.5,2,9,0,1920,26.15050395,91.73353109
5,2016-10-04 13:29:00,450,1.0,2,8,0,470,26.14901995,91.7395035
11,2016-10-04 13:29:00,3184,0.7,2,10,0,3883,26.14749943,91.72800489
7,2016-10-04 13:29:00,811,1.5,2,8,0,1322,26.14754886,91.72799519
8,2016-10-04 13:29:00,1459,1.0,2,8,0,2009,26.14747299,91.72804914
6,2016-10-04 13:29:00,648,0.5,2,8,0,690,26.13795775,91.74099445
12,2016-10-04 13:29:00,1360,1.0,2,9,0,2937,26.14749053,91.72799688
13,2016-10-04 13:29:00,1273,0.5,2,8,0,3103,26.14749998,91.72797778
9,2016-10-04 14:02:00,576,1.0,1,4,0,2803,26.14754061,91.72797041
7,2016-10-04 14:02:00,815,1.5,1,4,0,1322,26.14754886,91.72799519
1,2016-10-04 14:02:00,757,1.0,1,5,0,1200,26.14001386,91.73099967
12,2016-10-04 14:02:00,1352,1.0,1,5,0,2937,26.14749053,91.72799688
3,2016-10-04 14:02:00,381,1.0,1,5,0,485,26.14004753,91.73097233
13,2016-10-04 14:02:00,1262,1.0,1,5,0,3103,26.14749998,91.72797778
11,2016-10-04 14:02:00,3145,1.5,1,5,0,3883,26.14749943,91.72800489
0,2016-10-04 14:02:00,238,1.0,2,5,0,577,26.14453614,91.73617216
6,2016-10-04 14:02:00,639,1.0,2,6,0,690,26.13795775,91.74099445
4,2016-10-04 14:02:00,1430,1.0,1,5,0,1920,26.15050395,91.73353109
8,2016-10-04 14:02:00,1452,1.0,1,5,0,2009,26.14747299,91.72804914
10,2016-10-04 14:02:00,332,1.0,1,4,0,387,26.14449459,91.73620513
2,2016-10-04 14:02:00,637,1.0,2,6,0,687,20.0000347,78.00000286
5,2016-10-04 14:02:00,446,1.0,1,4,0,470,26.14901995,91.7395035
2,2016-10-04 14:29:00,627,1.5,1,4,0,687,20.0000347,78.00000286
11,2016-10-04 14:29:00,3113,0.7,1,5,0,3883,26.14749943,91.72800489
12,2016-10-04 14:29:00,1318,1.0,1,5,0,2937,26.14749053,91.72799688
4,2016-10-04 14:29:00,1429,1.0,1,4,0,1920,26.15050395,91.73353109
10,2016-10-04 14:29:00,322,1.0,1,3,0,387,26.14449459,91.73620513
0,2016-10-04 14:29:00,215,1.5,1,3,0,577,26.14453614,91.73617216
9,2016-10-04 14:29:00,560,1.0,1,4,0,2803,26.14754061,91.72797041
5,2016-10-04 14:29:00,433,0.7,1,4,0,470,26.14901995,91.7395035
8,2016-10-04 14:29:00,1420,0.7,2,7,0,2009,26.14747299,91.72804914
6,2016-10-04 14:29:00,621,1.0,1,4,0,690,26.13795775,91.74099445
13,2016-10-04 14:29:00,1238,1.0,1,5,0,3103,26.14749998,91.72797778
7,2016-10-04 14:29:00,793,0.7,1,4,0,1322,26.14754886,91.72799519
3,2016-10-04 14:29:00,373,1.0,1,4,0,485,26.14004753,91.73097233
1,2016-10-04 14:29:00,760,1.0,1,4,0,1200,26.14001386,91.73099967
10,2016-10-04 14:57:00,307,1.5,1,4,0,387,26.14449459,91.73620513
2,2016-10-04 14:57:00,593,0.5,1,4,0,687,20.0000347,78.00000286
11,2016-10-04 14:57:00,3011,1.0,1,6,0,3883,26.14749943,91.72800489
3,2016-10-04 14:57:00,354,0.7,1,4,0,485,26.14004753,91.73097233
4,2016-10-04 14:57:00,1381,1.0,1,5,0,1920,26.15050395,91.73353109
9,2016-10-04 14:57:00,529,0.7,1,4,0,2803,26.14754061,91.72797041
5,2016-10-04 14:57:00,426,1.0,1,4,0,470,26.14901995,91.7395035
8,2016-10-04 14:57:00,1346,1.0,1,4,0,2009,26.14747299,91.72804914
13,2016-10-04 14:57:00,1169,1.0,1,5,0,3103,26.14749998,91.72797778
6,2016-10-04 14:57:00,606,1.0,1,5,0,690,26.13795775,91.74099445
7,2016-10-04 14:57:00,753,0.5,1,4,0,1322,26.14754886,91.72799519
1,2016-10-04 14:57:00,727,1.0,1,4,0,1200,26.14001386,91.73099967
12,2016-10-04 14:57:00,1267,0.7,2,7,0,2937,26.14749053,91.72799688
0,2016-10-04 14:57:00,192,0.7,1,3,0,577,26.14453614,91.73617216
6,2016-10-04 15:30:00,581,1.0,0,2,0,690,26.13795775,91.74099445
10,2016-10-04 15:30:00,294,1.0,0,2,0,387,26.14449459,91.73620513
4,2016-10-04 15:30:00,1300,1.0,0,3,0,1920,26.15050395,91.73353109
8,2016-10-04 15:30:00,1288,0.7,0,3,0,2009,26.14747299,91.72804914
13,2016-10-04 15:30:00,1127,1.0,0,3,0,3103,26.14749998,91.72797778
7,2016-10-04 15:30:00,716,1.0,0,2,0,1322,26.14754886,91.72799519
5,2016-10-04 15:30:00,411,1.0,0,3,0,470,26.14901995,91.7395035
3,2016-10-04 15:30:00,338,1.0,0,3,0,485,26.14004753,91.73097233
2,2016-10-04 15:30:00,572,1.0,1,3,0,687,20.0000347,78.00000286
0,2016-10-04 15:30:00,165,1.0,0,2,0,577,26.14453614,91.73617216
12,2016-10-04 15:30:00,1213,1.0,1,4,0,2937,26.14749053,91.72799688
1,2016-10-04 15:30:00,678,1.0,0,3,0,1200,26.14001386,91.73099967
9,2016-10-04 15:30:00,511,1.0,0,2,0,2803,26.14754061,91.72797041
11,2016-10-04 15:30:00,2839,1.0,0,4,0,3883,26.14749943,91.72800489
6,2016-10-04 16:04:00,534,1.0,0,2,0,690,26.13795775,91.74099445
3,2016-10-04 16:04:00,317,1.0,0,2,0,485,26.14004753,91.73097233
10,2016-10-04 16:04:00,270,1.0,0,1,0,387,26.14449459,91.73620513
12,2016-10-04 16:04:00,1121,1.5,1,3,0,2937,26.14749053,91.72799688
7,2016-10-04 16:04:00,664,0.7,0,2,0,1322,26.14754886,91.72799519
1,2016-10-04 16:04:00,648,0.7,0,3,0,1200,26.14001386,91.73099967
2,2016-10-04 16:04:00,511,1.0,0,3,0,687,20.0000347,78.00000286
9,2016-10-04 16:04:00,461,1.0,1,3,0,2803,26.14754061,91.72797041
0,2016-10-04 16:04:00,162,0.7,0,1,0,577,26.14453614,91.73617216
5,2016-10-04 16:04:00,376,0.7,0,3,0,470,26.14901995,91.7395035
13,2016-10-04 16:04:00,1019,1.0,0,3,0,3103,26.14749998,91.72797778
4,2016-10-04 16:04:00,1218,1.0,0,3,0,1920,26.15050395,91.73353109
8,2016-10-04 16:04:00,1175,0.5,0,3,0,2009,26.14747299,91.72804914
11,2016-10-04 16:04:00,2656,0.7,0,2,0,3883,26.14749943,91.72800489
0,2016-10-04 16:31:00,143,1.0,1,2,0,577,26.14453614,91.73617216
7,2016-10-04 16:31:00,618,1.5,0,2,0,1322,26.14754886,91.72799519
12,2016-10-04 16:31:00,1015,1.0,0,2,0,2937,26.14749053,91.72799688
13,2016-10-04 16:31:00,936,0.7,0,2,0,3103,26.14749998,91.72797778
8,2016-10-04 16:31:00,1089,1.0,0,2,0,2009,26.14747299,91.72804914
11,2016-10-04 16:31:00,2359,1.0,0,3,0,3883,26.14749943,91.72800489
4,2016-10-04 16:31:00,1075,1.5,0,2,0,1920,26.15050395,91.73353109
10,2016-10-04 16:31:00,245,1.0,0,2,0,387,26.14449459,91.73620513
9,2016-10-04 16:31:00,406,1.5,0,2,0,2803,26.14754061,91.72797041
6,2016-10-04 16:31:00,466,0.5,1,2,0,690,26.13795775,91.74099445
2,2016-10-04 16:31:00,471,1.0,0,2,0,687,20.0000347,78.00000286
5,2016-10-04 16:31:00,325,1.0,0,2,0,470,26.14901995,91.7395035
3,2016-10-04 16:31:00,304,1.0,0,2,0,485,26.14004753,91.73097233
1,2016-10-04 16:31:00,565,0.5,1,2,0,1200,26.14001386,91.73099967
2,2016-10-05 07:57:00,282,0.7,0,2,0,687,20.0000347,78.00000286
7,2016-10-05 07:57:00,453,1.0,0,2,0,1322,26.14754886,91.72799519
9,2016-10-05 07:57:00,246,0.7,0,2,0,2803,26.14754061,91.72797041
8,2016-10-05 07:57:00,735,0.7,0,2,0,2009,26.14747299,91.72804914
4,2016-10-05 07:57:00,602,1.0,0,2,0,1920,26.15050395,91.73353109
0,2016-10-05 07:57:00,54,1.0,0,1,0,577,26.14453614,91.73617216
11,2016-10-05 07:57:00,1104,1.0,0,3,0,3883,26.14749943,91.72800489
13,2016-10-05 07:57:00,650,0.7,0,2,0,3103,26.14749998,91.72797778
10,2016-10-05 07:57:00,146,1.0,0,2,0,387,26.14449459,91.73620513
3,2016-10-05 07:57:00,268,1.0,0,2,0,485,26.14004753,91.73097233
5,2016-10-05 07:57:00,127,1.0,0,1,0,470,26.14901995,91.7395035
12,2016-10-05 07:57:00,594,1.0,0,2,0,2937,26.14749053,91.72799688
1,2016-10-05 07:57:00,229,1.0,1,2,0,1200,26.14001386,91.73099967
6,2016-10-05 07:57:00,180,1.0,0,2,0,690,26.13795775,91.74099445
7,2016-10-05 08:30:00,487,1.0,0,2,0,1322,26.14754886,91.72799519
1,2016-10-05 08:30:00,333,0.5,0,2,0,1200,26.14001386,91.73099967
6,2016-10-05 08:30:00,294,1.0,0,2,0,690,26.13795775,91.74099445
0,2016-10-05 08:30:00,59,1.0,1,1,0,577,26.14453614,91.73617216
11,2016-10-05 08:30:00,1599,1.0,0,2,0,3883,26.14749943,91.72800489
10,2016-10-05 08:30:00,169,1.0,0,2,0,387,26.14449459,91.73620513
4,2016-10-05 08:30:00,779,0.7,0,2,0,1920,26.15050395,91.73353109
8,2016-10-05 08:30:00,817,1.0,0,2,0,2009,26.14747299,91.72804914
9,2016-10-05 08:30:00,326,1.0,0,2,0,2803,26.14754061,91.72797041
13,2016-10-05 08:30:00,760,1.0,0,2,0,3103,26.14749998,91.72797778
3,2016-10-05 08:30:00,273,1.0,0,1,0,485,26.14004753,91.73097233
5,2016-10-05 08:30:00,201,1.5,0,2,0,470,26.14901995,91.7395035
12,2016-10-05 08:30:00,736,1.5,0,2,0,2937,26.14749053,91.72799688
2,2016-10-05 08:30:00,330,1.0,0,2,0,687,20.0000347,78.00000286
13,2016-10-05 09:04:00,896,1.0,1,4,0,3103,26.14749998,91.72797778
9,2016-10-05 09:04:00,419,1.0,0,2,0,2803,26.14754061,91.72797041
6,2016-10-05 09:04:00,424,1.0,0,2,0,690,26.13795775,91.74099445
3,2016-10-05 09:04:00,293,1.0,0,2,0,485,26.14004753,91.73097233
8,2016-10-05 09:04:00,949,1.0,0,2,0,2009,26.14747299,91.72804914
2,2016-10-05 09:04:00,395,0.5,1,3,0,687,20.0000347,78.00000286
11,2016-10-05 09:04:00,2142,1.0,0,3,0,3883,26.14749943,91.72800489
7,2016-10-05 09:04:00,554,0.7,0,2,0,1322,26.14754886,91.72799519
12,2016-10-05 09:04:00,928,0.5,0,3,0,2937,26.14749053,91.72799688
1,2016-10-05 09:04:00,470,0.7,0,2,0,1200,26.14001386,91.73099967
4,2016-10-05 09:04:00,975,1.0,1,4,0,1920,26.15050395,91.73353109
10,2016-10-05 09:04:00,211,0.7,0,2,0,387,26.14449459,91.73620513
0,2016-10-05 09:04:00,71,1.0,0,2,0,577,26.14453614,91.73617216
5,2016-10-05 09:04:00,283,1.0,0,2,0,470,26.14901995,91.7395035
3,2016-10-05 09:30:00,317,1.0,0,2,0,485,26.14004753,91.73097233
8,2016-10-05 09:30:00,1090,1.0,1,3,0,2009,26.14747299,91.72804914
4,2016-10-05 09:30:00,1138,1.0,0,3,0,1920,26.15050395,91.73353109
10,2016-10-05 09:30:00,256,0.7,0,3,0,387,26.14449459,91.73620513
12,2016-10-05 09:30:00,1083,1.0,1,4,0,2937,26.14749053,91.72799688
11,2016-10-05 09:30:00,2552,1.0,0,3,0,3883,26.14749943,91.72800489
5,2016-10-05 09:30:00,347,0.5,0,2,0,470,26.14901995,91.7395035
0,2016-10-05 09:30:00,83,1.0,1,2,0,577,26.14453614,91.73617216
2,2016-10-05 09:30:00,464,1.0,0,2,0,687,20.0000347,78.00000286
13,2016-10-05 09:30:00,1003,1.0,0,3,0,3103,26.14749998,91.72797778
1,2016-10-05 09:30:00,584,1.0,0,3,0,1200,26.14001386,91.73099967
7,2016-10-05 09:30:00,626,1.0,0,3,0,1322,26.14754886,91.72799519
9,2016-10-05 09:30:00,478,0.5,0,3,0,2803,26.14754061,91.72797041
6,2016-10-05 09:30:00,510,1.0,0,2,0,690,26.13795775,91.74099445
3,2016-10-05 10:04:00,339,1.5,0,3,0,485,26.14004753,91.73097233
12,2016-10-05 10:04:00,1221,1.5,0,4,0,2937,26.14749053,91.72799688
8,2016-10-05 10:04:00,1246,1.0,1,5,0,2009,26.14747299,91.72804914
1,2016-10-05 10:04:00,699,1.0,1,5,0,1200,26.14001386,91.73099967
7,2016-10-05 10:04:00,710,1.0,0,3,0,1322,26.14754886,91.72799519
4,2016-10-05 10:04:00,1306,1.5,0,4,0,1920,26.15050395,91.73353109
6,2016-10-05 10:04:00,572,1.0,0,3,0,690,26.13795775,91.74099445
10,2016-10-05 10:04:00,310,1.0,0,3,0,387,26.14449459,91.73620513
2,2016-10-05 10:04:00,536,1.0,0,4,0,687,20.0000347,78.00000286
0,2016-10-05 10:04:00,114,1.0,0,3,0,577,26.14453614,91.73617216
13,2016-10-05 10:04:00,1112,0.7,0,4,0,3103,26.14749998,91.72797778
5,2016-10-05 10:04:00,383,0.7,0,3,0,470,26.14901995,91.7395035
11,2016-10-05 10:04:00,2957,1.0,0,4,0,3883,26.14749943,91.72800489
9,2016-10-05 10:04:00,547,1.0,1,4,0,2803,26.14754061,91.72797041
5,2016-10-05 10:30:00,404,0.7,1,4,0,470,26.14901995,91.7395035
4,2016-10-05 10:30:00,1379,1.0,1,5,0,1920,26.15050395,91.73353109
12,2016-10-05 10:30:00,1288,1.0,2,7,0,2937,26.14749053,91.72799688
3,2016-10-05 10:30:00,355,1.0,1,3,0,485,26.14004753,91.73097233
8,2016-10-05 10:30:00,1339,1.0,1,4,0,2009,26.14747299,91.72804914
9,2016-10-05 10:30:00,586,0.7,1,5,0,2803,26.14754061,91.72797041
10,2016-10-05 10:30:00,337,0.7,2,5,0,387,26.14449459,91.73620513
0,2016-10-05 10:30:00,128,1.5,2,4,0,577,26.14453614,91.73617216
6,2016-10-05 10:30:00,598,0.7,1,4,0,690,26.13795775,91.74099445
